Player(1) MCTS wins: 	 Player(2) heu wins: 	 tree iterations:
14 	 61	1000
Game	winner	moves:
1	2	32
2	2	33
3	1	32
4	2	32
5	2	32
6	1	32
7	2	32
8	2	32
9	1	32
10	2	32
11	2	32
12	2	32
13	2	32
14	1	32
15	2	32
16	1	32
17	2	32
18	2	32
19	1	32
20	2	32
21	2	32
22	2	32
23	2	32
24	2	32
25	1	32
26	2	32
27	2	32
28	2	32
29	2	34
30	2	32
31	2	33
32	2	32
33	2	32
34	2	32
35	1	32
36	2	32
37	2	32
38	2	32
39	2	32
40	2	32
41	2	32
42	2	32
43	2	32
44	2	32
45	2	33
46	2	32
47	2	33
48	1	32
49	2	32
50	1	32
51	2	32
52	2	32
53	1	32
54	2	32
55	2	33
56	2	32
57	2	32
58	1	32
59	2	32
60	2	32
61	2	32
62	2	33
63	2	33
64	2	32
65	1	32
66	2	33
67	2	34
68	2	32
69	2	33
70	1	32
71	2	32
72	2	33
73	2	32
74	2	33
75	2	33
