Player(1) MCTS_RAVE wins: 	 Player(2) MCTS wins: 	 tree iterations:
37 	 38	1000
Game	winner	moves:
1	2	32
2	2	32
3	1	32
4	1	33
5	1	32
6	2	32
7	2	32
8	1	32
9	1	32
10	1	33
11	1	32
12	2	32
13	2	33
14	2	32
15	2	32
16	2	32
17	1	32
18	1	32
19	1	32
20	1	32
21	2	34
22	2	32
23	1	32
24	1	32
25	2	32
26	1	32
27	2	32
28	2	32
29	1	32
30	2	32
31	2	33
32	2	32
33	1	32
34	1	32
35	1	32
36	2	32
37	1	32
38	1	33
39	2	32
40	2	32
41	1	32
42	1	32
43	1	32
44	2	32
45	2	32
46	2	32
47	2	32
48	2	32
49	2	32
50	2	32
51	1	32
52	2	32
53	2	32
54	1	32
55	1	32
56	1	32
57	2	33
58	1	32
59	1	32
60	2	32
61	2	32
62	1	32
63	2	32
64	1	32
65	2	32
66	1	32
67	1	32
68	2	32
69	2	32
70	1	32
71	2	32
72	2	32
73	1	32
74	1	32
75	1	32
